iteration,avg_price,cash_and_stock,cash,stock_value,action,position
0,0.0,1000000.0,1000000.0,0.0,0,0
1,292.625,1000000.0,500196.5,499803.5,-1,-1
2,293.25,998932.5,500196.5,498736.0,-1,-1
3,303.25,981852.5,500196.5,481656.0,-1,-1
4,307.5,974593.5,500196.5,474397.0,-1,-1
5,321.25,951108.5,500196.5,450912.0,-1,-1
6,328.125,939366.0,500196.5,439169.5,-1,-1
7,315.25,961356.5,500196.5,461160.0,-1,-1
8,318.25,956232.5,500196.5,456036.0,-1,-1
9,319.5,954097.5,500196.5,453901.0,-1,-1
10,315.25,961356.5,500196.5,461160.0,-1,-1
11,316.0,960075.5,500196.5,459879.0,-1,-1
12,329.0,937871.5,500196.5,437675.0,-1,-1
13,322.25,949400.5,500196.5,449204.0,-1,-1
14,328.25,939152.5,500196.5,438956.0,-1,-1
15,326.875,941501.0,500196.5,441304.5,-1,-1
16,324.875,944917.0,500196.5,444720.5,-1,-1
17,323.25,947692.5,500196.5,447496.0,-1,-1
18,335.75,926342.5,500196.5,426146.0,-1,-1
19,338.25,922072.5,500196.5,421876.0,-1,-1
20,320.75,951962.5,500196.5,451766.0,-1,-1
21,322.25,949400.5,500196.5,449204.0,-1,-1
22,317.625,957300.0,500196.5,457103.5,-1,-1
23,304.0,980571.5,500196.5,480375.0,-1,-1
24,303.25,981852.5,500196.5,481656.0,-1,-1
25,304.5,979717.5,979717.5,0.0,1,0
26,303.75,979717.5,979717.5,0.0,0,0
27,303.625,979717.5,489970.38,489747.12,-1,-1
28,298.25,988387.38,489970.38,498417.0,-1,-1
29,296.125,991815.0,489970.38,501844.62,-1,-1
30,299.0,987177.62,489970.38,497207.25,-1,-1
31,300.5,984758.12,489970.38,494787.75,-1,-1
32,301.75,982741.88,489970.38,492771.5,-1,-1
33,301.125,983750.0,489970.38,493779.62,-1,-1
34,286.375,1007541.75,489970.38,517571.38,-1,-1
35,284.0,1011372.62,1011372.62,0.0,1,0
36,263.125,1011372.62,505909.5,505463.12,1,1
37,265.625,1016175.12,505909.5,510265.62,1,1
38,273.0,1030342.5,505909.5,524433.0,1,1
39,278.0,1039947.5,505909.5,534038.0,1,1
40,288.375,1059877.88,1059877.88,0.0,-1,0
41,295.0,1059877.88,530057.88,529820.0,-1,-1
42,291.5,1066163.88,530057.88,536106.0,-1,-1
43,288.625,1071327.38,530057.88,541269.5,-1,-1
44,288.75,1071102.88,530057.88,541045.0,-1,-1
45,290.625,1067735.38,530057.88,537677.5,-1,-1
46,289.125,1070429.38,530057.88,540371.5,-1,-1
47,288.875,1070878.38,530057.88,540820.5,-1,-1
48,287.375,1073572.38,530057.88,543514.5,-1,-1
49,287.25,1073796.88,530057.88,543739.0,-1,-1
50,286.25,1075592.88,530057.88,545535.0,-1,-1
51,290.875,1067286.38,530057.88,537228.5,-1,-1
52,293.25,1063020.88,530057.88,532963.0,-1,-1
53,297.75,1054938.88,530057.88,524881.0,-1,-1
54,299.375,1052020.38,530057.88,521962.5,-1,-1
55,303.0,1045509.88,530057.88,515452.0,-1,-1
56,300.75,1049550.88,530057.88,519493.0,-1,-1
57,301.5,1048203.88,530057.88,518146.0,-1,-1
58,300.375,1050224.38,530057.88,520166.5,-1,-1
59,294.5,1060775.88,530057.88,530718.0,-1,-1
60,296.25,1057632.88,530057.88,527575.0,-1,-1
61,288.5,1071551.88,530057.88,541494.0,-1,-1
62,280.5,1085919.88,530057.88,555862.0,-1,-1
63,283.5,1080531.88,530057.88,550474.0,-1,-1
64,287.625,1073123.38,530057.88,543065.5,-1,-1
65,287.5,1073347.88,530057.88,543290.0,-1,-1
66,288.75,1071102.88,530057.88,541045.0,-1,-1
67,290.0,1068857.88,530057.88,538800.0,-1,-1
68,286.375,1075368.38,530057.88,545310.5,-1,-1
69,289.125,1070429.38,530057.88,540371.5,-1,-1
70,306.25,1039672.88,530057.88,509615.0,-1,-1
71,315.125,1023733.38,530057.88,493675.5,-1,-1
72,316.5,1021263.88,530057.88,491206.0,-1,-1
73,313.5,1026651.88,530057.88,496594.0,-1,-1
74,310.25,1032488.88,530057.88,502431.0,-1,-1
75,310.125,1032713.38,530057.88,502655.5,-1,-1
76,315.5,1023059.88,530057.88,493002.0,-1,-1
77,315.625,1022835.38,530057.88,492777.5,-1,-1
78,311.125,1030917.38,530057.88,500859.5,-1,-1
79,311.75,1029794.88,530057.88,499737.0,-1,-1
80,312.0,1029345.88,530057.88,499288.0,-1,-1
81,313.0,1027549.88,530057.88,497492.0,-1,-1
82,318.25,1018120.88,530057.88,488063.0,-1,-1
83,309.5,1033835.88,530057.88,503778.0,-1,-1
84,310.5,1032039.88,530057.88,501982.0,-1,-1
85,304.625,1042591.38,530057.88,512533.5,-1,-1
86,305.75,1040570.88,530057.88,510513.0,-1,-1
87,308.25,1036080.88,530057.88,506023.0,-1,-1
88,314.25,1025304.88,530057.88,495247.0,-1,-1
89,315.375,1023284.38,530057.88,493226.5,-1,-1
