Date,V,O,H,L,C
2020-04-01,8825000.0,266.5,268.5,256.5,262.0
2020-04-06,9905000.0,269.5,278.0,264.5,278.0
2020-04-07,7960000.0,286.5,289.0,278.0,278.0
2020-04-08,5026000.0,278.0,282.5,274.5,275.0
2020-04-09,5041000.0,276.5,279.5,267.5,269.0
2020-04-10,4702000.0,269.0,273.5,267.0,268.5
2020-04-13,3586000.0,265.5,268.5,262.0,263.0
2020-04-14,5575000.0,266.0,274.0,266.0,273.0
2020-04-15,6434000.0,274.0,278.0,270.5,272.0
2020-04-16,5566000.0,268.0,274.5,266.0,270.0
2020-04-17,12389000.0,276.0,284.5,269.0,274.0
2020-04-20,5627000.0,272.0,276.0,268.5,274.0
2020-04-21,6449000.0,272.0,276.5,264.0,265.5
2020-04-22,11925000.0,262.0,264.0,254.0,259.0
2020-04-23,6852000.0,261.5,264.0,255.5,260.0
2020-04-24,9135000.0,257.0,260.0,251.0,251.0
2020-04-27,10140000.0,251.0,254.5,247.0,251.5
2020-04-28,11990000.0,250.0,250.5,242.0,247.0
2020-04-29,15338000.0,251.0,264.5,250.0,261.5
2020-04-30,14394000.0,270.0,272.0,265.0,269.0
2020-05-04,6291000.0,262.0,265.0,261.0,264.0
2020-05-05,7385000.0,265.5,271.0,261.0,262.5
2020-05-06,6688000.0,263.0,268.0,261.5,262.5
2020-05-07,10180000.0,264.5,272.5,264.0,272.5
2020-05-08,15482000.0,275.5,285.0,273.5,281.5
2020-05-11,16228000.0,287.5,294.5,280.0,282.5
2020-05-12,9320000.0,283.0,284.0,272.0,274.5
2020-05-13,9247000.0,271.0,276.0,269.0,272.5
2020-05-14,5748000.0,270.0,271.5,267.0,267.0
2020-05-15,6413000.0,270.5,273.0,267.5,268.5
2020-05-18,18339000.0,257.5,260.0,248.0,248.0
2020-05-19,10368000.0,253.0,253.5,246.0,252.0
2020-05-20,10579000.0,250.0,250.5,243.5,246.0
2020-05-21,8858000.0,249.5,252.5,248.5,251.0
2020-05-22,13376000.0,249.0,250.0,234.0,239.5
2020-05-25,8445000.0,239.5,251.0,236.0,250.0
2020-05-26,7174000.0,250.0,252.5,243.5,244.0
2020-05-27,7709000.0,248.0,251.0,246.0,247.0
2020-05-28,4887000.0,249.0,250.0,245.0,247.0
2020-05-29,12820000.0,246.0,257.0,245.5,257.0
2020-06-01,9355000.0,259.5,265.0,258.0,264.0
2020-06-02,12920000.0,265.5,274.5,265.0,272.5
2020-06-03,9520000.0,279.5,281.0,273.5,277.0
2020-06-04,6820000.0,279.5,280.0,274.0,278.0
2020-06-05,5822000.0,277.0,280.5,275.5,278.0
2020-06-08,14623000.0,285.0,290.0,278.5,282.0
2020-06-09,4602000.0,284.0,286.0,280.0,282.0
2020-06-10,17148000.0,284.0,295.0,283.0,294.5
2020-06-11,11691000.0,293.5,296.5,286.5,288.5
2020-06-12,10033000.0,282.0,291.5,280.0,289.0
2020-06-15,11640000.0,294.0,297.0,283.0,283.0
2020-06-16,11922000.0,289.0,297.0,288.5,296.5
2020-06-17,7191000.0,296.5,298.0,290.5,293.5
2020-06-18,9354000.0,295.5,298.0,290.5,291.5
2020-06-19,12789000.0,293.5,301.5,292.0,297.0
2020-06-22,10210000.0,298.0,309.5,297.0,305.0
2020-06-23,7417000.0,306.5,308.0,297.0,299.0
2020-06-24,5044000.0,302.0,304.0,295.0,295.0
2020-06-29,6319000.0,294.0,298.0,289.5,291.0
