Date,V,O,H,L,C
2020-04-01,48954990,13.85,13.85,13.65,13.8
2020-04-06,75417890,13.95,14.1,13.8,14.1
2020-04-07,112835791,14.25,14.3,13.95,14.15
2020-04-08,70020325,14.15,14.3,14.1,14.2
2020-04-09,40473210,14.3,14.4,14.1,14.2
2020-04-10,23315732,14.25,14.3,14.15,14.3
2020-04-13,94375364,14.45,15.1,14.4,14.8
2020-04-14,70873919,15.05,15.15,14.85,15.15
2020-04-15,76800916,15.15,15.2,14.9,15.1
2020-04-16,55714536,14.85,15.1,14.8,14.9
2020-04-17,102841345,15.2,15.45,15.0,15.05
2020-04-20,46983290,15.1,15.2,14.95,15.15
2020-04-21,74235734,15.1,15.35,14.8,14.8
2020-04-22,51801119,14.8,15.2,14.75,15.2
2020-04-23,157791012,15.45,16.0,15.4,15.8
2020-04-24,104062670,15.9,16.1,15.85,15.9
2020-04-27,121440284,16.15,16.3,15.9,16.15
2020-04-28,219150807,15.5,15.6,14.75,15.0
2020-04-29,96798319,15.2,15.5,15.2,15.3
2020-04-30,64768656,15.45,15.6,15.35,15.55
2020-05-04,47975074,15.1,15.45,15.05,15.35
2020-05-05,34096450,15.5,15.55,15.25,15.25
2020-05-06,34763487,15.25,15.45,15.25,15.3
2020-05-07,85739112,15.45,15.85,15.3,15.6
2020-05-08,39736136,15.85,15.85,15.5,15.65
2020-05-11,42257477,15.8,15.85,15.6,15.6
2020-05-12,40406407,15.5,15.65,15.35,15.45
2020-05-13,30545962,15.4,15.6,15.35,15.6
2020-05-14,31677085,15.45,15.55,15.2,15.35
2020-05-15,32116870,15.45,15.5,15.15,15.4
2020-05-18,41754666,15.4,15.4,15.1,15.1
2020-05-19,54397126,15.3,15.3,14.9,14.95
2020-05-20,63261595,15.15,15.15,14.85,14.85
2020-05-21,39817856,15.0,15.3,14.95,15.3
2020-05-22,33556829,15.15,15.2,15.05,15.1
2020-05-25,19221772,15.1,15.1,14.85,15.1
2020-05-26,23880256,15.15,15.25,15.1,15.2
2020-05-27,24006301,15.25,15.3,15.1,15.1
2020-05-28,45046009,15.2,15.4,15.15,15.35
2020-05-29,50362911,15.3,15.45,15.2,15.45
2020-06-01,56981896,15.6,15.8,15.5,15.65
2020-06-02,46869809,15.75,15.85,15.7,15.85
2020-06-03,64858876,16.0,16.2,15.95,16.2
2020-06-04,94781239,16.5,16.6,16.1,16.3
2020-06-05,49132614,16.3,16.5,16.2,16.5
2020-06-08,124631598,17.5,17.5,16.85,17.05
2020-06-09,82141619,17.05,17.15,16.55,16.85
2020-06-10,94791794,16.85,16.85,16.4,16.6
2020-06-11,92770897,16.45,16.5,15.9,16.05
2020-06-12,86040818,15.45,15.8,15.4,15.7
2020-06-15,81647335,15.45,15.5,15.3,15.4
2020-06-16,63149426,15.5,15.7,15.4,15.5
2020-06-17,74747221,15.5,15.55,15.15,15.3
2020-06-18,57824627,15.3,15.45,15.25,15.35
2020-06-19,57562916,15.4,15.6,15.4,15.4
2020-06-22,42863689,15.45,15.7,15.35,15.7
2020-06-23,57029420,15.75,15.75,15.45,15.45
2020-06-24,58563616,15.5,15.95,15.5,15.75
2020-06-29,40174467,15.55,15.8,15.5,15.55
2020-06-30,44717594,15.7,15.9,15.65,15.9
2020-07-01,41759557,16.0,16.2,15.95,16.1
2020-07-02,53354397,16.2,16.35,16.0,16.35
2020-07-03,51767884,16.45,16.5,16.35,16.45
2020-07-06,55080070,16.6,16.7,16.45,16.65
2020-07-07,80993675,16.9,17.0,16.5,16.6
2020-07-08,34987230,16.6,16.8,16.6,16.65
2020-07-09,40570369,16.65,16.75,16.45,16.45
2020-07-10,41687415,16.5,16.65,16.4,16.45
2020-07-13,106711949,16.7,17.05,16.65,17.05
2020-07-14,91424312,17.1,17.1,16.7,16.8
2020-07-15,98486316,16.45,16.5,16.0,16.0
2020-07-16,139039785,16.25,16.8,16.25,16.6
2020-07-17,70857217,16.75,16.8,16.15,16.4
2020-07-20,106825263,16.55,16.75,16.3,16.55
2020-07-21,210085722,16.75,17.5,16.7,17.15
2020-07-22,116464421,17.25,17.5,17.05,17.5
2020-07-23,401688025,18.5,19.25,18.35,19.25
2020-07-24,546884955,19.8,20.3,19.5,19.75
2020-07-27,490842075,20.5,21.7,20.05,21.7
2020-07-28,599722773,23.85,23.85,21.8,22.25
2020-07-29,308114701,22.2,22.65,21.35,22.4
2020-07-30,249008246,22.6,22.75,21.75,22.2
2020-07-31,137076620,21.9,22.5,21.7,22.35
2020-08-03,366890778,22.5,24.4,22.4,23.8
2020-08-04,317880374,25.2,25.8,24.3,24.55
2020-08-05,274027185,24.45,25.6,24.0,24.9
2020-08-06,369199737,25.5,26.85,25.3,26.6
2020-08-07,334380253,27.0,27.4,25.45,25.6
2020-08-10,187635317,25.25,26.2,24.95,25.3
2020-08-11,144853117,25.5,25.9,25.0,25.0
2020-08-12,207439232,24.75,24.8,23.85,23.95
2020-08-13,153054743,24.45,24.7,23.6,23.75
2020-08-14,120344792,23.3,23.75,23.1,23.55
2020-08-17,139404132,23.7,24.5,23.65,24.15
2020-08-18,139974521,24.4,24.6,23.8,24.1
2020-08-19,114113905,24.45,24.45,23.3,23.4
2020-08-20,202244929,22.8,23.1,21.25,21.8
2020-08-21,159091172,22.45,22.75,21.7,21.8
2020-08-24,120357007,21.95,22.7,21.9,22.6
2020-08-25,102738857,22.75,22.8,22.0,22.15
2020-08-26,73886072,22.0,22.35,21.65,22.35
2020-08-27,84525878,22.5,22.65,21.85,21.95
2020-08-28,69220042,21.8,22.2,21.6,21.9
2020-08-31,126184719,22.1,22.15,21.2,21.2
2020-09-01,81661352,21.35,21.95,21.1,21.9
2020-09-02,57874308,22.05,22.1,21.5,21.7
2020-09-03,87870341,22.0,22.15,21.55,21.55
2020-09-04,73445360,20.9,21.45,20.8,21.45
2020-09-07,97935968,23.15,23.55,23.1,23.55
2020-09-08,316528524,24.4,24.6,22.7,22.7
2020-09-09,206963405,22.6,23.95,22.3,23.7
2020-09-10,143782472,24.05,24.15,23.3,23.35
2020-09-11,78463966,23.4,23.5,22.8,23.0
2020-09-14,142653704,23.5,24.1,23.5,23.9
2020-09-15,379771700,24.2,25.8,24.2,25.3
2020-09-16,306889814,26.8,27.2,25.55,25.7
2020-09-17,137350124,25.3,26.0,25.15,25.75
2020-09-18,136993058,26.0,26.4,25.8,25.8
2020-09-21,121025077,25.95,26.1,25.1,25.15
2020-09-22,122720357,25.05,25.5,24.5,25.1
2020-09-23,195111094,25.9,26.1,25.3,26.0
2020-09-24,283777370,25.65,26.5,25.5,25.95
