日期,成交仟股,成交仟元,開盤,最高,最低,收盤,漲跌,筆數
2020-04-01,8825,2318968,266.50,268.50,256.50,262.00,-1.50,6547
2020-04-06,9905,2681340,269.50,278.00,264.50,278.00,16.00,7276
2020-04-07,7960,2251676,286.50,289.00,278.00,278.00,0.00,5878
2020-04-08,5026,1393200,278.00,282.50,274.50,275.00,-3.00,3741
2020-04-09,5041,1374154,276.50,279.50,267.50,269.00,-6.00,3982
2020-04-10,4702,1267744,269.00,273.50,267.00,268.50,-0.50,3666
2020-04-13,3586,949382,265.50,268.50,262.00,263.00,-5.50,2944
2020-04-14,5575,1507935,266.00,274.00,266.00,273.00,10.00,4266
2020-04-15,6434,1761815,274.00,278.00,270.50,272.00,-1.00,4764
2020-04-16,5566,1498655,268.00,274.50,266.00,270.00,-2.00,4282
2020-04-17,12389,3433788,276.00,284.50,269.00,274.00,4.00,9306
2020-04-20,5627,1529834,272.00,276.00,268.50,274.00,0.00,4105
2020-04-21,6449,1731591,272.00,276.50,264.00,265.50,-8.50,4992
2020-04-22,11925,3080633,262.00,264.00,254.00,259.00,-6.50,9357
2020-04-23,6852,1778062,261.50,264.00,255.50,260.00,1.00,5208
2020-04-24,9135,2316378,257.00,260.00,251.00,251.00,-9.00,7031
2020-04-27,10140,2543381,251.00,254.50,247.00,251.50,0.50,7893
2020-04-28,11990,2941399,250.00,250.50,242.00,247.00,-4.50,9169
2020-04-29,15338,3962752,251.00,264.50,250.00,261.50,14.50,12234
2020-04-30,14394,3866268,270.00,272.00,265.00,269.00,7.50,10434
2020-05-04,6291,1655471,262.00,265.00,261.00,264.00,-5.00,4999
2020-05-05,7385,1957660,265.50,271.00,261.00,262.50,-1.50,5477
2020-05-06,6688,1762936,263.00,268.00,261.50,262.50,0.00,5091
2020-05-07,10180,2737333,264.50,272.50,264.00,272.50,10.00,7740
2020-05-08,15482,4329632,275.50,285.00,273.50,281.50,9.00,11645
2020-05-11,16228,4639175,287.50,294.50,280.00,282.50,1.00,12301
2020-05-12,9320,2580643,283.00,284.00,272.00,274.50,-8.00,7113
2020-05-13,9247,2507382,271.00,276.00,269.00,272.50,-2.00,6690
2020-05-14,5748,1545566,270.00,271.50,267.00,267.00,-5.50,4384
2020-05-15,6413,1728967,270.50,273.00,267.50,268.50,1.50,4728
2020-05-18,18339,4623309,257.50,260.00,248.00,248.00,-20.50,14119
2020-05-19,10368,2590735,253.00,253.50,246.00,252.00,4.00,8477
2020-05-20,10579,2602149,250.00,250.50,243.50,246.00,-6.00,8335
2020-05-21,8858,2216494,249.50,252.50,248.50,251.00,5.00,6188
2020-05-22,13376,3216732,249.00,250.00,234.00,239.50,-11.50,9760
2020-05-25,8445,2068559,239.50,251.00,236.00,250.00,10.50,6575
2020-05-26,7174,1775673,250.00,252.50,243.50,244.00,-6.00,5468
2020-05-27,7709,1913804,248.00,251.00,246.00,247.00,3.00,5477
2020-05-28,4887,1207823,249.00,250.00,245.00,247.00,0.00,3492
2020-05-29,12820,3251206,246.00,257.00,245.50,257.00,10.00,8846
2020-06-01,9355,2455043,259.50,265.00,258.00,264.00,7.00,7297
2020-06-02,12920,3501764,265.50,274.50,265.00,272.50,8.50,10055
2020-06-03,9520,2639420,279.50,281.00,273.50,277.00,4.50,7188
2020-06-04,6820,1889336,279.50,280.00,274.00,278.00,1.00,4977
2020-06-05,5822,1619770,277.00,280.50,275.50,278.00,0.00,4217
2020-06-08,14623,4165637,285.00,290.00,278.50,282.00,4.00,10194
2020-06-09,4602,1301698,284.00,286.00,280.00,282.00,0.00,3616
2020-06-10,17148,4984200,284.00,295.00,283.00,294.50,12.50,12020
2020-06-11,11691,3402341,293.50,296.50,286.50,288.50,-6.00,8777
2020-06-12,10033,2889271,282.00,291.50,280.00,289.00,0.50,7186
2020-06-15,11640,3384745,294.00,297.00,283.00,283.00,-6.00,8491
2020-06-16,11922,3501704,289.00,297.00,288.50,296.50,13.50,8743
2020-06-17,7191,2110044,296.50,298.00,290.50,293.50,-3.00,5698
2020-06-18,9354,2746428,295.50,298.00,290.50,291.50,-2.00,5680
2020-06-19,12789,3807254,293.50,301.50,292.00,297.00,5.50,7741
2020-06-22,10210,3109843,298.00,309.50,297.00,305.00,8.00,7473
2020-06-23,7417,2233690,306.50,308.00,297.00,299.00,-6.00,5673
2020-06-24,5044,1505067,302.00,304.00,295.00,295.00,-4.00,3751
2020-06-29,6319,1854233,294.00,298.00,289.50,291.00,-4.00,4056
2020-06-30,6112,1822438,296.50,301.50,296.00,299.00,8.00,4256
2020-07-01,6153,1808385,295.50,296.50,291.00,292.50,0.50,4326
2020-07-02,3459,1012698,295.00,295.00,291.50,292.00,-0.50,2430
2020-07-03,5474,1608395,294.50,296.50,290.50,293.00,1.00,3627
2020-07-06,9923,3000392,295.00,307.00,294.00,306.00,13.00,7134
2020-07-07,14691,4552057,312.00,315.50,302.50,306.00,0.00,10002
2020-07-08,15492,4926629,306.00,327.00,306.00,326.00,20.00,11007
2020-07-09,12260,4041608,331.00,334.50,326.00,326.00,0.00,8705
2020-07-10,9869,3118121,326.00,327.00,311.00,311.50,-14.50,7285
2020-07-13,5121,1627009,319.00,321.00,314.00,319.00,7.50,4073
2020-07-14,6323,2020061,320.00,322.00,313.00,321.50,2.50,4198
2020-07-15,7994,2539983,325.50,327.50,310.50,311.50,-10.00,6235
2020-07-16,6200,1965958,319.00,321.00,313.00,315.00,3.50,4657
2020-07-17,16773,5509512,320.50,334.00,320.00,331.00,16.00,12438
2020-07-20,13185,4263873,334.50,337.50,316.50,317.50,-13.50,9962
2020-07-21,8974,2931056,320.50,332.00,320.00,330.50,13.00,6761
2020-07-22,4261,1391103,329.50,329.50,324.00,327.00,-3.50,3453
2020-07-23,4931,1589466,328.00,328.00,319.50,326.00,-1.00,3826
2020-07-24,7475,2429587,326.00,331.00,320.00,321.00,-5.00,5686
2020-07-27,9185,3056214,326.00,339.00,326.00,339.00,18.00,7152
2020-07-28,14513,4967468,345.00,359.00,326.00,334.00,-5.00,10888
2020-07-29,16404,5281224,326.50,333.00,313.00,318.50,-15.50,11809
2020-07-30,7277,2341593,324.50,326.00,319.00,322.00,3.50,5421
2020-07-31,7248,2297090,323.00,323.00,313.50,317.00,-5.00,5354
2020-08-03,15092,4593818,317.50,319.00,299.00,299.00,-18.00,11375
2020-08-04,7755,2356781,301.00,308.00,301.00,302.00,3.00,5623
2020-08-05,3894,1183935,305.00,307.00,302.00,304.50,2.50,3299
2020-08-06,5452,1658829,308.00,309.00,301.00,302.50,-2.00,4504
2020-08-07,5231,1587930,304.00,306.50,301.00,303.50,1.00,3807
2020-08-10,4671,1388557,303.50,303.50,293.50,298.00,-5.50,3779
2020-08-11,4092,1214184,297.00,302.50,294.00,294.00,-4.00,3372
2020-08-12,6907,2052359,294.00,303.50,286.50,303.00,9.00,5165
2020-08-13,5110,1535809,305.50,305.50,297.50,299.50,-3.50,3847
2020-08-14,2721,819523,297.50,304.00,297.00,303.00,3.50,2137
2020-08-17,2323,700738,303.50,305.00,298.50,300.50,-2.50,1902
2020-08-18,12693,3639409,295.00,297.50,279.00,284.50,-16.00,9129
2020-08-19,6644,1896956,288.50,292.00,281.00,281.50,-3.00,4929
2020-08-20,16914,4444763,276.50,277.50,255.00,260.00,-21.50,11914
2020-08-21,6558,1738870,266.00,270.00,260.50,266.00,6.00,5260
2020-08-24,6222,1685174,267.00,276.00,266.00,275.00,9.00,4633
2020-08-25,6705,1845603,277.50,280.00,272.00,280.00,5.00,4607
2020-08-26,11486,3298427,284.50,292.00,280.50,290.50,10.50,8796
2020-08-27,9905,2911287,291.00,297.00,291.00,296.00,5.50,7299
