日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2020-04-01,48954990,673209888,13.85,13.85,13.65,13.8,0.15,6157
2020-04-06,75417890,1053322856,13.95,14.1,13.8,14.1,0.3,7578
2020-04-07,112835791,1591981089,14.25,14.3,13.95,14.15,0.05,8442
2020-04-08,70020325,994587911,14.15,14.3,14.1,14.2,0.05,9495
2020-04-09,40473210,576200202,14.3,14.4,14.1,14.2,0.0,6537
2020-04-10,23315732,331496847,14.25,14.3,14.15,14.3,0.1,3591
2020-04-13,94375364,1389318115,14.45,15.1,14.4,14.8,0.5,15717
2020-04-14,70873919,1062777698,15.05,15.15,14.85,15.15,0.35,11462
2020-04-15,76800916,1153667281,15.15,15.2,14.9,15.1,-0.05,18035
2020-04-16,55714536,831927500,14.85,15.1,14.8,14.9,-0.2,9618
2020-04-17,102841345,1562964125,15.2,15.45,15.0,15.05,0.15,16568
2020-04-20,46983290,708535630,15.1,15.2,14.95,15.15,0.1,7932
2020-04-21,74235734,1116229862,15.1,15.35,14.8,14.8,-0.35,12580
2020-04-22,51801119,779263200,14.8,15.2,14.75,15.2,0.4,9379
2020-04-23,157791012,2480411932,15.45,16.0,15.4,15.8,0.6,24322
2020-04-24,104062670,1660996497,15.9,16.1,15.85,15.9,0.1,19782
2020-04-27,121440284,1954424767,16.15,16.3,15.9,16.15,0.25,17083
2020-04-28,219150807,3312193487,15.5,15.6,14.75,15.0,-1.15,41197
2020-04-29,96798319,1485883726,15.2,15.5,15.2,15.3,0.3,16286
2020-04-30,64768656,1003539346,15.45,15.6,15.35,15.55,0.25,11380
2020-05-04,47975074,732457685,15.1,15.45,15.05,15.35,-0.2,9251
2020-05-05,34096450,524216465,15.5,15.55,15.25,15.25,-0.1,7971
2020-05-06,34763487,532444055,15.25,15.45,15.25,15.3,0.05,8472
2020-05-07,85739112,1290910874,15.45,15.85,15.3,15.6,0.3,11023
2020-05-08,39736136,621347772,15.85,15.85,15.5,15.65,0.05,7566
2020-05-11,42257477,662233437,15.8,15.85,15.6,15.6,-0.05,8859
2020-05-12,40406407,625139245,15.5,15.65,15.35,15.45,-0.15,7034
2020-05-13,30545962,473588136,15.4,15.6,15.35,15.6,0.15,5718
2020-05-14,31677085,488027623,15.45,15.55,15.2,15.35,-0.25,7710
2020-05-15,32116870,492228366,15.45,15.5,15.15,15.4,0.05,5927
